Timestamp,Email Address,Full Name,Email Address,Phone Number,Primary Email,Gmail Account,Phone Number,Have you worked on a project with Epic Intentions in the past?,Year,T-Shirt Size (Adult Sizes),Major,Concentration within Major (if applicable),Minor/Certificate,Why are you interested in joining Epic Intentions (2-4 sentences)?,Can you attend the meetings listed?,If you cannot make the 5pm meeting time: How will you contribute to your team and prioritize Epic Intentions to keep up with meetings missed?,Please confirm that you will be able to attend the Epic Intentions Workathon on March 2nd from 12PM-5PM.,In which semesters have you participated in Epic Intentions? ,What types of projects have you done with Epic Intentions?,Draw Change,Agape Youth and Family Center,Africa House,Southface,Camp Kudzu,La Amistad,Giving Kitchen,WonderRoot,Rebuilding,How many hours per week could you dedicate to this project?,Business and Analytics,Computer Science,Please list any skills that have not been mentioned previously.,"Please describe any experience you have working on a team or individual project, such as through research or any other similar endeavor",Please describe any consulting experience you have.,Are you interested in being a Team Leader?,How did you hear about Epic Intentions? ,What are you passionate about?,"What personal skills, experience, knowledge, or resources can you contribute to Epic Intentions, and how will that help you make you a good Team Leader?","How will you prioritize Epic Intentions over other responsibilities that you have (work, school, other organizations)?",Which projects are you interested in leading? ,"Interview slot availability for Friday, January 18th","Interview slot availability for Saturday, January 19th","If these days don't work for you, please list your availability for an interview earlier than Saturday, January 19th"
1/14/2019 11:26:15,email@gatech.edu,Todd Quinn,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,M,Business Administration,Strategy and Innovation,Leadership Studies,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,"I will be coming from a rehearsal and may be late, but no later than 12:30 PM.",,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",10:00:00,"Data Analytics, Business Development, Project Management, Visual Design, Marketing Strategies, SWOT Analysis, Database Management, Accounting, Finances, Technical Writing, Canva, Grant Writing, Interviewing, Competitive Positioning Analysis",,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,Yes,Through my wonderful friends Rachel Raisin and Elianna Paljug.,,,,,,,
1/8/2019 17:42:20,email@gatech.edu,Maureen Hudson,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Chemical and Biomolecular Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",6:30:00,"Business Development, Project Management, Visual Design, Marketing Strategies, SWOT Analysis, Accounting, Finances, Technical Writing, Persuasive Writing, Social Media, Canva, Grant Writing, Interviewing","Python, MATLAB","Public speaking, teaching (tutoring)",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Orgsync,,,,,,,
1/17/2019 17:00:37,email@gatech.edu,Kristina Hines,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Chemical Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,Interested to be placed on this project (willing and excited),"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",6:00:00,"Web Design, Photoshop, SWOT Analysis, Technical Writing, Persuasive Writing, Social Media",MATLAB,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,My friend Mehdi Harley was a member,,,,,,,
1/17/2019 21:28:12,email@gatech.edu,Freda Daniels,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Third year,S,Chemical Engineering ,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,8:00:00,"Statistics, Project Management, Marketing Strategies, Technical Writing, Persuasive Writing, Social Media, Canva",MATLAB,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I heard about Epic Intentions from a former participant. ,,,,,,,
1/17/2019 16:25:57,email@gatech.edu,Traci Rivera,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Civil Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,"VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",3:00:00,"Wordpress, Social Media",,"I am good at working in teams, especially when it comes to collaboration. Furthermore, I have a strong work ethic and will be willing to give my best to the project. ",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,A friend of mine joined Epic Intentions last semester and said it was a worthwhile experience. ,,,,,,,
1/17/2019 19:04:20,email@gatech.edu,Sam Johnson,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,S,Civil Engineering,,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,No,,,Interested to be placed on this project (willing and excited),Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",Interested (willing and excited),Interested (willing and excited),Interested (willing and excited),"VERY interested (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)",4:00:01,"Visual Design, Photoshop, Persuasive Writing, Filming",Python,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Rommate,,,,,,,
1/9/2019 22:16:09,email@gatech.edu,Lillian Oliver,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Second year,L,Computational Media,Media/Interactive Design,,Progress through service is my motto. Personal information that doesn’t need to be public.,"I have a recitation that ends at 5:45, so I can attend at least the last 10 minutes of meetings (for presentations at update meetings).","I can meet with my team directly after meetings (or a more convenient meeting time can be arranged). I will have some time throughout the week, especially during weekends, to work on my part of the project.",Yes,"Spring 2018, Fall 2018","Video, Grant Writing",Interested to be placed on this project (willing and excited),NOT interested,"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),"Mildly interested (still willing, but last choice)",5:00:00,"Wordpress, Visual Design, Photoshop, Persuasive Writing, Grant Writing, InDesign",Android Studio,,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Past participation,,,,,,,
1/9/2019 15:08:37,email@gatech.edu,Megan Wallace,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,XL,Computer Science,Intelligence and Media,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),"Mildly interested (still willing, but last choice)",NOT interested,Interested (willing and excited),NOT interested,4:00:00,"Data Analytics, Web Design","Python, Swift (iOS development), Android Studio, Java",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/9/2019 16:04:20,email@gatech.edu,Violet Mclaughlin,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,Computer Science,"Intelligence, Info-Networks",Finance,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,NOT interested to be placed on this project,"Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),NOT interested,4:00:00,"Business Development, Project Management, Marketing Strategies, SWOT Analysis, Accounting, Finances, Interviewing","GitHub, Python, HTML, Android Studio, Java, MATLAB, Flask",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Facebook,,,,,,,
1/10/2019 16:06:15,email@gatech.edu,Kristin Hubbard,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Computer Science,N/A,N/A,Progress through service is my motto. Personal information that doesn’t need to be public.,I can make the 5pm meetings but have a 6pm recitation so I might have to leave a few minutes early if possible. I can make all the final presentations.,,Yes,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,NOT interested,NOT interested,Interested (willing and excited),Interested (willing and excited),NOT interested,5:00:00,"Statistics, Web Design, Technical Writing, Persuasive Writing, Social Media, Interviewing","Python, HTML, CSS, MATLAB",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Friends in the organization,,,,,,,
1/11/2019 12:03:08,email@gatech.edu,Kenny Morales,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Computer Science,Mod/Sim and Intellegence,N/A,Progress through service is my motto. Personal information that doesn’t need to be public.,"I have physics lab until 5:45, but I heard that it's possible to get out 30 minutes early, so I will be able to make most meetings, but I might be late to a lot of them.","I will make sure to get all the information I missed from my teammates. I will also make sure to go to all of the individual team meetings (since those would be on a different day). Finally, I don't think being late to some of the Wednesday meeting will impact the work I contribute to the team, since that would be outside of those meetings anyways.",Yes,,,NOT interested to be placed on this project,"VERY interested (willing, excited, and top choice)",Interested (willing and excited),NOT interested,"Mildly interested (still willing, but last choice)",NOT interested,NOT interested,Interested (willing and excited),NOT interested,8:00:00,Data Analytics,"GitHub, HTML, SQL, Javascript, Java, Node.js","I am learning MongoDB right now, but I didn't want to check it off since I don't know much about it yet.",Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,From a friend who was in Epic Intentions.,,,,,,,
1/11/2019 17:20:19,email@gatech.edu,Thomas West,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,M,Computer Science,Information Internetworks & Systems and Architecture,,Progress through service is my motto. Personal information that doesn’t need to be public.,"No, I have class","I am fairly available outside of that time block, and most days, I could show up for part of the meetings, but that is not guaranteed. It depends on what they have us doing, and how rigorous the work is.",Yes,,,Interested to be placed on this project (willing and excited),Interested (willing and excited),NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,Interested (willing and excited),6:00:00,"Database Management, Professional Video Editing","Python, Android Studio, Java, Django",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/12/2019 16:50:32,email@gatech.edu,Sheila May,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Computer Science,Intelligence and Infonetworks,(hopefully music tech),Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)",NOT interested,6:00:00,"Web Design, Technical Writing, Persuasive Writing","GitHub, Python, HTML, CSS, SQL, Javascript, Java, Node.js, React",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Friends from Grand Challenge.,,,,,,,
1/12/2019 17:55:19,email@gatech.edu,Craig Terry,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,First year,M,Computer Science,Information Infonetworks and Artificial Intelligence,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"VERY interested to be placed on this project (willing, excited, and top choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","VERY interested (willing, excited, and top choice)","Mildly interested (still willing, but last choice)",6:00:00,"Statistics, Web Design, Photoshop, Database Management, Filming, Video Editing (Personal projects and class-related editing)","GitHub, Python, HTML, CSS, SQL, Javascript, Android Studio, Java",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,Friends,,,,,,,
1/14/2019 14:21:33,email@gatech.edu,Debbie Mcgee,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,Fourth Year,M,Computer Science,Intelligence/Modeling & Simulations,Physics,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,Fall 2018,"Strategy, Mapping",NOT interested to be placed on this project,Interested (willing and excited),NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,"VERY interested (willing, excited, and top choice)",NOT interested,3:30:00,"Data Analytics, Statistics, Web Design, Visual Design, Database Management","GitHub, Python, HTML, CSS, MongoDB, SQL, Javascript, Swift (iOS development), Android Studio, Java, MATLAB, ARCgis, Django, Flask, Node.js, AngularJS, React, React Native. I'm rusty on MongoDB and Django and only a little experienced with iOS",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
1/17/2019 17:00:05,email@gatech.edu,Doyle Frank,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,First year,M,Computer Science,Intelligence + People,Entrepreneurship,Progress through service is my motto. Personal information that doesn’t need to be public.,"Generally not, as I have recitation. I have already discussed this with Elianna","I will participate strongly in my group meetings and own time, where in my experience last semester most of the work gets done",Yes,Fall 2018,"Web Development, Marketing",Interested to be placed on this project (willing and excited),"VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)","Mildly interested (still willing, but last choice)",Interested (willing and excited),Interested (willing and excited),4:00:00,"Business Development, Project Management, Web Design, Wordpress, Visual Design, Photoshop, Database Management, Finances, Canva, Competitive Positioning Analysis","GitHub, Python, HTML, CSS, MongoDB, Javascript, Swift (iOS development), Java, Node.js, React",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,"Was a member last year. Also, note about the TL: I would love to do it in future semesters once I can consistently make all the meetings!",,,,,,,
1/17/2019 20:53:21,email@gatech.edu,Virgil Graves,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,No,Second year,S,Computer Science,Media and intelligence threads,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,,,"Mildly interested to be placed on this project (still willing, but last choice)","VERY interested (willing, excited, and top choice)",NOT interested,NOT interested,"Mildly interested (still willing, but last choice)",NOT interested,"Mildly interested (still willing, but last choice)",Interested (willing and excited),"Mildly interested (still willing, but last choice)",4:00:00,"Web Design, Wordpress, Visual Design","GitHub, Python, HTML, CSS, SQL, Android Studio, Java, Angular",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,I heard about it from my roommate who was a part of a team last semester,,,,,,,
1/17/2019 23:09:16,email@gatech.edu,Anne Vaughn,email@gatech.edu,4045551885,email@gatech.edu,email@gatech.edu,4045551885,Yes,First year,S,Computer Science,Intelligence and Mod/Sim,,Progress through service is my motto. Personal information that doesn’t need to be public.,"Yes, I can attend all the 5pm Wednesday meetings and Final Presentations",,Yes,Fall 2018,"Database, Data visualization","Mildly interested to be placed on this project (still willing, but last choice)",Interested (willing and excited),NOT interested,NOT interested,NOT interested,NOT interested,NOT interested,Interested (willing and excited),NOT interested,3:00:00,Data Analytics,"GitHub, Python, HTML, CSS, Java, FormAssembly, Flask",,Progress through service is my motto. Personal information that doesn’t need to be public.,Progress through service is my motto. Personal information that doesn’t need to be public.,No,,,,,,,,
